scenario,scenario_type,decision_score_uncertain,expected_cm_delta_vs_baseline,prob_cm_positive,prob_cm_better_than_baseline,prob_leakage_better_than_baseline,contribution_margin_proxy_p05,contribution_margin_proxy_p50,contribution_margin_proxy_p95
fraud_control_improvement,risk_upside,69.76905202113939,650090.8272280004,0.0,1.0,1.0,-1514280.9591489315,-1329741.994169141,-1152874.3854424548
seller_quality_improvement,quality_upside,65.06254118803044,464492.25180229335,0.0,0.992,0.9895,-1712602.258771121,-1514306.9815438674,-1332297.574848757
subsidy_tightening,policy_upside,59.284960302131616,301075.21082970523,0.0,0.953,0.9545,-1891195.1188771224,-1675200.8286639322,-1480012.7353468158
baseline,reference,0.0,0.0,0.0,0.0,0.0,-2217146.169873807,-1981233.0023503867,-1760478.6130550527
downside_high_risk_deterioration,downside,-19.091019034312616,-840331.2777880186,0.0,0.0,0.0,-3134847.723707867,-2821237.773621774,-2518653.2087315125
