scenario,scenario_type,gmv_mean,gmv_p05,gmv_p50,gmv_p95,gmv_std,net_value_mean,net_value_p05,net_value_p50,net_value_p95,net_value_std,risk_adjusted_gmv_mean,risk_adjusted_gmv_p05,risk_adjusted_gmv_p50,risk_adjusted_gmv_p95,risk_adjusted_gmv_std,total_leakage_mean,total_leakage_p05,total_leakage_p50,total_leakage_p95,total_leakage_std,contribution_margin_proxy_mean,contribution_margin_proxy_p05,contribution_margin_proxy_p50,contribution_margin_proxy_p95,contribution_margin_proxy_std,top_risk_seller_downside_exposure_mean,top_risk_seller_downside_exposure_p05,top_risk_seller_downside_exposure_p50,top_risk_seller_downside_exposure_p95,top_risk_seller_downside_exposure_std,prob_cm_positive,prob_cm_better_than_baseline,prob_leakage_better_than_baseline,expected_cm_delta_vs_baseline
fraud_control_improvement,risk_upside,11355833.52852279,10727487.031420672,11362708.340684686,11954191.918796845,378674.9794390096,10470653.364328226,9834554.090593962,10464353.476153325,11099641.547718091,391032.8010401625,10226275.60694824,9604066.310116634,10220133.280674055,10845032.637284823,382237.6479151558,2582077.282133819,2369417.7280037957,2580643.9683828894,2805876.393055173,130243.76138646525,-1330678.6347109068,-1514280.9591489315,-1329741.994169141,-1152874.3854424548,107816.97875056064,838686.7434750838,743327.0795635442,838037.2015248323,937000.68015017,59494.051051783084,0.0,1.0,1.0,650090.8272280004
seller_quality_improvement,quality_upside,11308825.162532207,10697129.688844712,11304555.5659625,11941370.297161687,371139.8915884536,10480674.392436307,9867047.90840835,10482469.920589885,11117299.095307793,375821.30626899493,10188568.561129706,9602049.913993951,10194647.63216121,10805733.906915404,365129.54017574876,2762495.594440098,2539401.1747886827,2761268.9058045023,2994691.7034087135,137719.56239837385,-1516277.2101366138,-1712602.258771121,-1514306.9815438674,-1332297.574848757,115782.936652063,1007793.8699222854,893182.8018879839,1008201.2661513528,1128146.6397266986,71557.7820439263,0.0,0.992,0.9895,464492.25180229335
subsidy_tightening,policy_upside,10969099.385441154,10347509.719053157,10959236.78141948,11585299.437531974,371658.75329037535,10260604.528953156,9655323.489735704,10246698.477824138,10896603.229222583,377702.9852682245,9945367.284328789,9367433.226661624,9934041.51251484,10557859.023342438,366299.01737702865,2888475.2798122694,2650269.788621041,2885189.883192456,3139405.306827599,146171.33767591274,-1679694.251109202,-1891195.1188771224,-1675200.8286639322,-1480012.7353468158,123811.60155086427,1161461.3449458042,1031111.2955652334,1160940.0998109889,1298863.3294491,81335.82023122022,0.0,0.953,0.9545,301075.21082970523
baseline,reference,11475878.03550154,10833306.68499574,11477034.289522152,12091269.057448186,388246.2285009721,10615842.442247715,9979088.637342595,10612789.632278465,11278624.42775207,398212.5116066014,10271858.684955727,9645476.816807639,10262103.988743562,10916444.690147238,385386.14933718834,3245396.8638417474,2983753.9507353795,3242590.4483568305,3523357.5102105667,163193.23353244568,-1980769.4619389072,-2217146.169873807,-1981233.0023503867,-1760478.6130550527,138071.44725168953,1306261.80648613,1155699.6669987412,1304462.1287757861,1454978.9062110835,91560.50494952693,0.0,0.0,0.0,0.0
downside_high_risk_deterioration,downside,11883710.980962122,11229059.884642793,11882000.153790966,12540003.773283888,391510.6183028468,10895103.420428243,10246662.482839372,10892142.838715352,11543960.746107316,392722.99677492224,10417400.828036733,9798672.461620778,10415277.16777195,11038452.581033243,376268.4465487816,4130670.8219748037,3783259.115089265,4131330.5476805153,4487249.815626181,213068.35294488375,-2821100.7397269257,-3134847.723707867,-2821237.773621774,-2518653.2087315125,187885.44192550375,1880726.4724610948,1664074.3782181244,1878947.2280650719,2107070.997096829,133585.97930646857,0.0,0.0,0.0,-840331.2777880186
